Red Player wins: 0 | Yellow Player Wins: 1 | Round Count: 1
Red Player wins: 191 | Yellow Player Wins: 1155 | Round Count: 1346
Red Player wins: 191 | Yellow Player Wins: 1156 | Round Count: 1347
Red Player wins: 191 | Yellow Player Wins: 1157 | Round Count: 1348
Red Player wins: 191 | Yellow Player Wins: 1158 | Round Count: 1349
Red Player wins: 191 | Yellow Player Wins: 1159 | Round Count: 1350
Red Player wins: 192 | Yellow Player Wins: 1159 | Round Count: 1351
Red Player wins: 192 | Yellow Player Wins: 1160 | Round Count: 1352
Red Player wins: 193 | Yellow Player Wins: 1160 | Round Count: 1353
Red Player wins: 193 | Yellow Player Wins: 1161 | Round Count: 1354
Red Player wins: 193 | Yellow Player Wins: 1162 | Round Count: 1355
Red Player wins: 193 | Yellow Player Wins: 1163 | Round Count: 1356
Red Player wins: 193 | Yellow Player Wins: 1164 | Round Count: 1357
Red Player wins: 193 | Yellow Player Wins: 1165 | Round Count: 1358
Red Player wins: 193 | Yellow Player Wins: 1166 | Round Count: 1359
Red Player wins: 193 | Yellow Player Wins: 1167 | Round Count: 1360
Red Player wins: 193 | Yellow Player Wins: 1168 | Round Count: 1361
Red Player wins: 193 | Yellow Player Wins: 1169 | Round Count: 1362
Red Player wins: 194 | Yellow Player Wins: 1169 | Round Count: 1363
Red Player wins: 194 | Yellow Player Wins: 1170 | Round Count: 1364
Red Player wins: 194 | Yellow Player Wins: 1171 | Round Count: 1365
Red Player wins: 194 | Yellow Player Wins: 1172 | Round Count: 1366
Red Player wins: 194 | Yellow Player Wins: 1173 | Round Count: 1367
Red Player wins: 195 | Yellow Player Wins: 1173 | Round Count: 1368
Red Player wins: 195 | Yellow Player Wins: 1174 | Round Count: 1369
Red Player wins: 195 | Yellow Player Wins: 1175 | Round Count: 1370
Red Player wins: 195 | Yellow Player Wins: 1176 | Round Count: 1371
Red Player wins: 195 | Yellow Player Wins: 1177 | Round Count: 1372
Red Player wins: 195 | Yellow Player Wins: 1178 | Round Count: 1373
Red Player wins: 195 | Yellow Player Wins: 1179 | Round Count: 1374
Red Player wins: 195 | Yellow Player Wins: 1180 | Round Count: 1375
Red Player wins: 195 | Yellow Player Wins: 1181 | Round Count: 1376
Red Player wins: 195 | Yellow Player Wins: 1182 | Round Count: 1377
Red Player wins: 195 | Yellow Player Wins: 1183 | Round Count: 1378
Red Player wins: 196 | Yellow Player Wins: 1183 | Round Count: 1379
Red Player wins: 196 | Yellow Player Wins: 1184 | Round Count: 1380
Red Player wins: 197 | Yellow Player Wins: 1184 | Round Count: 1381
Red Player wins: 197 | Yellow Player Wins: 1185 | Round Count: 1382
Red Player wins: 197 | Yellow Player Wins: 1186 | Round Count: 1383
Red Player wins: 197 | Yellow Player Wins: 1187 | Round Count: 1384
Red Player wins: 198 | Yellow Player Wins: 1187 | Round Count: 1385
Red Player wins: 198 | Yellow Player Wins: 1188 | Round Count: 1386
Red Player wins: 199 | Yellow Player Wins: 1188 | Round Count: 1387
Red Player wins: 200 | Yellow Player Wins: 1188 | Round Count: 1388
Red Player wins: 201 | Yellow Player Wins: 1188 | Round Count: 1389
Red Player wins: 201 | Yellow Player Wins: 1189 | Round Count: 1390
Red Player wins: 202 | Yellow Player Wins: 1189 | Round Count: 1391
Red Player wins: 202 | Yellow Player Wins: 1190 | Round Count: 1392
Red Player wins: 202 | Yellow Player Wins: 1191 | Round Count: 1393
Red Player wins: 202 | Yellow Player Wins: 1192 | Round Count: 1394
Red Player wins: 202 | Yellow Player Wins: 1193 | Round Count: 1395
Red Player wins: 202 | Yellow Player Wins: 1194 | Round Count: 1396
Red Player wins: 202 | Yellow Player Wins: 1195 | Round Count: 1397
Red Player wins: 202 | Yellow Player Wins: 1196 | Round Count: 1398
Red Player wins: 202 | Yellow Player Wins: 1197 | Round Count: 1399
Red Player wins: 202 | Yellow Player Wins: 1198 | Round Count: 1400
Red Player wins: 202 | Yellow Player Wins: 1199 | Round Count: 1401
Red Player wins: 202 | Yellow Player Wins: 1200 | Round Count: 1402
Red Player wins: 202 | Yellow Player Wins: 1201 | Round Count: 1403
Red Player wins: 202 | Yellow Player Wins: 1202 | Round Count: 1404
Red Player wins: 202 | Yellow Player Wins: 1203 | Round Count: 1405
Red Player wins: 202 | Yellow Player Wins: 1204 | Round Count: 1406
Red Player wins: 202 | Yellow Player Wins: 1205 | Round Count: 1407
Red Player wins: 202 | Yellow Player Wins: 1206 | Round Count: 1408
Red Player wins: 202 | Yellow Player Wins: 1207 | Round Count: 1409
Red Player wins: 202 | Yellow Player Wins: 1208 | Round Count: 1410
Red Player wins: 202 | Yellow Player Wins: 1209 | Round Count: 1411
Red Player wins: 202 | Yellow Player Wins: 1210 | Round Count: 1412
Red Player wins: 202 | Yellow Player Wins: 1211 | Round Count: 1413
Red Player wins: 202 | Yellow Player Wins: 1212 | Round Count: 1414
Red Player wins: 202 | Yellow Player Wins: 1213 | Round Count: 1415
Red Player wins: 203 | Yellow Player Wins: 1213 | Round Count: 1416
Red Player wins: 204 | Yellow Player Wins: 1213 | Round Count: 1417
Red Player wins: 204 | Yellow Player Wins: 1214 | Round Count: 1418
Red Player wins: 204 | Yellow Player Wins: 1215 | Round Count: 1419
Red Player wins: 204 | Yellow Player Wins: 1216 | Round Count: 1420
Red Player wins: 204 | Yellow Player Wins: 1217 | Round Count: 1421
Red Player wins: 204 | Yellow Player Wins: 1218 | Round Count: 1422
Red Player wins: 204 | Yellow Player Wins: 1219 | Round Count: 1423
Red Player wins: 204 | Yellow Player Wins: 1220 | Round Count: 1424
Red Player wins: 204 | Yellow Player Wins: 1221 | Round Count: 1425
Red Player wins: 204 | Yellow Player Wins: 1222 | Round Count: 1426
Red Player wins: 204 | Yellow Player Wins: 1223 | Round Count: 1427
Red Player wins: 204 | Yellow Player Wins: 1224 | Round Count: 1428
Red Player wins: 204 | Yellow Player Wins: 1225 | Round Count: 1429
Red Player wins: 204 | Yellow Player Wins: 1226 | Round Count: 1430
Red Player wins: 204 | Yellow Player Wins: 1227 | Round Count: 1431
Red Player wins: 204 | Yellow Player Wins: 1228 | Round Count: 1432
Red Player wins: 204 | Yellow Player Wins: 1229 | Round Count: 1433
Red Player wins: 204 | Yellow Player Wins: 1230 | Round Count: 1434
Red Player wins: 204 | Yellow Player Wins: 1231 | Round Count: 1435
Red Player wins: 205 | Yellow Player Wins: 1231 | Round Count: 1436
Red Player wins: 206 | Yellow Player Wins: 1231 | Round Count: 1437
Red Player wins: 206 | Yellow Player Wins: 1232 | Round Count: 1438
Red Player wins: 206 | Yellow Player Wins: 1233 | Round Count: 1439
Red Player wins: 206 | Yellow Player Wins: 1234 | Round Count: 1440
Red Player wins: 206 | Yellow Player Wins: 1235 | Round Count: 1441
Red Player wins: 206 | Yellow Player Wins: 1236 | Round Count: 1442
Red Player wins: 206 | Yellow Player Wins: 1237 | Round Count: 1443
Red Player wins: 206 | Yellow Player Wins: 1238 | Round Count: 1444
Red Player wins: 206 | Yellow Player Wins: 1239 | Round Count: 1445
Red Player wins: 206 | Yellow Player Wins: 1240 | Round Count: 1446
Red Player wins: 206 | Yellow Player Wins: 1241 | Round Count: 1447
Red Player wins: 206 | Yellow Player Wins: 1242 | Round Count: 1448
Red Player wins: 207 | Yellow Player Wins: 1242 | Round Count: 1449
Red Player wins: 208 | Yellow Player Wins: 1242 | Round Count: 1450
Red Player wins: 208 | Yellow Player Wins: 1243 | Round Count: 1451
Red Player wins: 208 | Yellow Player Wins: 1244 | Round Count: 1452
Red Player wins: 208 | Yellow Player Wins: 1245 | Round Count: 1453
Red Player wins: 208 | Yellow Player Wins: 1246 | Round Count: 1454
Red Player wins: 208 | Yellow Player Wins: 1247 | Round Count: 1455
Red Player wins: 209 | Yellow Player Wins: 1247 | Round Count: 1456
Red Player wins: 209 | Yellow Player Wins: 1248 | Round Count: 1457
Red Player wins: 209 | Yellow Player Wins: 1249 | Round Count: 1458
Red Player wins: 209 | Yellow Player Wins: 1250 | Round Count: 1459
Red Player wins: 209 | Yellow Player Wins: 1251 | Round Count: 1460
Red Player wins: 209 | Yellow Player Wins: 1252 | Round Count: 1461
Red Player wins: 209 | Yellow Player Wins: 1253 | Round Count: 1462
Red Player wins: 209 | Yellow Player Wins: 1254 | Round Count: 1463
Red Player wins: 209 | Yellow Player Wins: 1255 | Round Count: 1464
Red Player wins: 209 | Yellow Player Wins: 1256 | Round Count: 1465
Red Player wins: 210 | Yellow Player Wins: 1256 | Round Count: 1466
Red Player wins: 210 | Yellow Player Wins: 1257 | Round Count: 1467
Red Player wins: 211 | Yellow Player Wins: 1257 | Round Count: 1468
Red Player wins: 211 | Yellow Player Wins: 1258 | Round Count: 1469
Red Player wins: 211 | Yellow Player Wins: 1259 | Round Count: 1470
Red Player wins: 211 | Yellow Player Wins: 1260 | Round Count: 1471
Red Player wins: 211 | Yellow Player Wins: 1261 | Round Count: 1472
Red Player wins: 211 | Yellow Player Wins: 1262 | Round Count: 1473
Red Player wins: 211 | Yellow Player Wins: 1263 | Round Count: 1474
Red Player wins: 211 | Yellow Player Wins: 1264 | Round Count: 1475
Red Player wins: 211 | Yellow Player Wins: 1265 | Round Count: 1476
Red Player wins: 211 | Yellow Player Wins: 1266 | Round Count: 1477
Red Player wins: 211 | Yellow Player Wins: 1267 | Round Count: 1478
Red Player wins: 211 | Yellow Player Wins: 1268 | Round Count: 1479
Red Player wins: 211 | Yellow Player Wins: 1269 | Round Count: 1480
Red Player wins: 212 | Yellow Player Wins: 1269 | Round Count: 1481
Red Player wins: 213 | Yellow Player Wins: 1269 | Round Count: 1482
Red Player wins: 213 | Yellow Player Wins: 1270 | Round Count: 1483
Red Player wins: 213 | Yellow Player Wins: 1271 | Round Count: 1484
Red Player wins: 213 | Yellow Player Wins: 1272 | Round Count: 1485
Red Player wins: 213 | Yellow Player Wins: 1273 | Round Count: 1486
Red Player wins: 213 | Yellow Player Wins: 1274 | Round Count: 1487
Red Player wins: 213 | Yellow Player Wins: 1275 | Round Count: 1488
Red Player wins: 213 | Yellow Player Wins: 1276 | Round Count: 1489
Red Player wins: 213 | Yellow Player Wins: 1277 | Round Count: 1490
Red Player wins: 213 | Yellow Player Wins: 1278 | Round Count: 1491
Red Player wins: 213 | Yellow Player Wins: 1279 | Round Count: 1492
Red Player wins: 213 | Yellow Player Wins: 1280 | Round Count: 1493
Red Player wins: 213 | Yellow Player Wins: 1281 | Round Count: 1494
Red Player wins: 213 | Yellow Player Wins: 1282 | Round Count: 1495
Red Player wins: 213 | Yellow Player Wins: 1283 | Round Count: 1496
Red Player wins: 213 | Yellow Player Wins: 1284 | Round Count: 1497
Red Player wins: 213 | Yellow Player Wins: 1285 | Round Count: 1498
Red Player wins: 213 | Yellow Player Wins: 1286 | Round Count: 1499
Red Player wins: 214 | Yellow Player Wins: 1286 | Round Count: 1500
Red Player wins: 214 | Yellow Player Wins: 1287 | Round Count: 1501
Red Player wins: 215 | Yellow Player Wins: 1287 | Round Count: 1502
Red Player wins: 215 | Yellow Player Wins: 1288 | Round Count: 1503
Red Player wins: 215 | Yellow Player Wins: 1289 | Round Count: 1504
Red Player wins: 215 | Yellow Player Wins: 1290 | Round Count: 1505
Red Player wins: 215 | Yellow Player Wins: 1291 | Round Count: 1506
Red Player wins: 215 | Yellow Player Wins: 1292 | Round Count: 1507
Red Player wins: 216 | Yellow Player Wins: 1292 | Round Count: 1508
Red Player wins: 216 | Yellow Player Wins: 1293 | Round Count: 1509
Red Player wins: 216 | Yellow Player Wins: 1294 | Round Count: 1510
Red Player wins: 217 | Yellow Player Wins: 1294 | Round Count: 1511
Red Player wins: 217 | Yellow Player Wins: 1295 | Round Count: 1512
Red Player wins: 217 | Yellow Player Wins: 1296 | Round Count: 1513
Red Player wins: 217 | Yellow Player Wins: 1297 | Round Count: 1514
Red Player wins: 217 | Yellow Player Wins: 1298 | Round Count: 1515
Red Player wins: 217 | Yellow Player Wins: 1299 | Round Count: 1516
Red Player wins: 217 | Yellow Player Wins: 1300 | Round Count: 1517
Red Player wins: 217 | Yellow Player Wins: 1301 | Round Count: 1518
Red Player wins: 217 | Yellow Player Wins: 1302 | Round Count: 1519
Red Player wins: 218 | Yellow Player Wins: 1302 | Round Count: 1520
Red Player wins: 218 | Yellow Player Wins: 1303 | Round Count: 1521
Red Player wins: 218 | Yellow Player Wins: 1304 | Round Count: 1522
Red Player wins: 218 | Yellow Player Wins: 1305 | Round Count: 1523
Red Player wins: 218 | Yellow Player Wins: 1306 | Round Count: 1524
Red Player wins: 218 | Yellow Player Wins: 1307 | Round Count: 1525
Red Player wins: 218 | Yellow Player Wins: 1308 | Round Count: 1526
Red Player wins: 218 | Yellow Player Wins: 1309 | Round Count: 1527
Red Player wins: 218 | Yellow Player Wins: 1310 | Round Count: 1528
Red Player wins: 219 | Yellow Player Wins: 1310 | Round Count: 1529
Red Player wins: 220 | Yellow Player Wins: 1310 | Round Count: 1530
Red Player wins: 220 | Yellow Player Wins: 1311 | Round Count: 1531
Red Player wins: 220 | Yellow Player Wins: 1312 | Round Count: 1532
Red Player wins: 220 | Yellow Player Wins: 1313 | Round Count: 1533
Red Player wins: 220 | Yellow Player Wins: 1314 | Round Count: 1534
Red Player wins: 220 | Yellow Player Wins: 1315 | Round Count: 1535
Red Player wins: 221 | Yellow Player Wins: 1315 | Round Count: 1536
Red Player wins: 222 | Yellow Player Wins: 1315 | Round Count: 1537
Red Player wins: 222 | Yellow Player Wins: 1316 | Round Count: 1538
Red Player wins: 222 | Yellow Player Wins: 1317 | Round Count: 1539
Red Player wins: 222 | Yellow Player Wins: 1318 | Round Count: 1540
Red Player wins: 222 | Yellow Player Wins: 1319 | Round Count: 1541
Red Player wins: 222 | Yellow Player Wins: 1320 | Round Count: 1542
Red Player wins: 222 | Yellow Player Wins: 1321 | Round Count: 1543
Red Player wins: 223 | Yellow Player Wins: 1321 | Round Count: 1544
Red Player wins: 224 | Yellow Player Wins: 1321 | Round Count: 1545
Red Player wins: 224 | Yellow Player Wins: 1322 | Round Count: 1546
Red Player wins: 225 | Yellow Player Wins: 1322 | Round Count: 1547
Red Player wins: 226 | Yellow Player Wins: 1322 | Round Count: 1548
Red Player wins: 226 | Yellow Player Wins: 1323 | Round Count: 1549
Red Player wins: 227 | Yellow Player Wins: 1323 | Round Count: 1550
Red Player wins: 228 | Yellow Player Wins: 1323 | Round Count: 1551
Red Player wins: 228 | Yellow Player Wins: 1324 | Round Count: 1552
Red Player wins: 228 | Yellow Player Wins: 1325 | Round Count: 1553
Red Player wins: 228 | Yellow Player Wins: 1326 | Round Count: 1554
Red Player wins: 228 | Yellow Player Wins: 1327 | Round Count: 1555
Red Player wins: 228 | Yellow Player Wins: 1328 | Round Count: 1556
Red Player wins: 229 | Yellow Player Wins: 1328 | Round Count: 1557
Red Player wins: 229 | Yellow Player Wins: 1329 | Round Count: 1558
Red Player wins: 229 | Yellow Player Wins: 1330 | Round Count: 1559
Red Player wins: 229 | Yellow Player Wins: 1331 | Round Count: 1560
Red Player wins: 229 | Yellow Player Wins: 1332 | Round Count: 1561
Red Player wins: 229 | Yellow Player Wins: 1333 | Round Count: 1562
Red Player wins: 229 | Yellow Player Wins: 1334 | Round Count: 1563
Red Player wins: 229 | Yellow Player Wins: 1335 | Round Count: 1564
Red Player wins: 229 | Yellow Player Wins: 1336 | Round Count: 1565
Red Player wins: 229 | Yellow Player Wins: 1337 | Round Count: 1566
Red Player wins: 229 | Yellow Player Wins: 1338 | Round Count: 1567
Red Player wins: 229 | Yellow Player Wins: 1339 | Round Count: 1568
Red Player wins: 229 | Yellow Player Wins: 1340 | Round Count: 1569
Red Player wins: 229 | Yellow Player Wins: 1341 | Round Count: 1570
Red Player wins: 229 | Yellow Player Wins: 1342 | Round Count: 1571
Red Player wins: 229 | Yellow Player Wins: 1343 | Round Count: 1572
Red Player wins: 229 | Yellow Player Wins: 1344 | Round Count: 1573
Red Player wins: 229 | Yellow Player Wins: 1345 | Round Count: 1574
Red Player wins: 229 | Yellow Player Wins: 1346 | Round Count: 1575
Red Player wins: 229 | Yellow Player Wins: 1347 | Round Count: 1576
Red Player wins: 229 | Yellow Player Wins: 1348 | Round Count: 1577
Red Player wins: 229 | Yellow Player Wins: 1349 | Round Count: 1578
Red Player wins: 229 | Yellow Player Wins: 1350 | Round Count: 1579
Red Player wins: 229 | Yellow Player Wins: 1351 | Round Count: 1580
Red Player wins: 229 | Yellow Player Wins: 1352 | Round Count: 1581
Red Player wins: 229 | Yellow Player Wins: 1353 | Round Count: 1582
Red Player wins: 229 | Yellow Player Wins: 1354 | Round Count: 1583
Red Player wins: 229 | Yellow Player Wins: 1355 | Round Count: 1584
Red Player wins: 230 | Yellow Player Wins: 1355 | Round Count: 1585
Red Player wins: 230 | Yellow Player Wins: 1356 | Round Count: 1586
Red Player wins: 230 | Yellow Player Wins: 1357 | Round Count: 1587
Red Player wins: 230 | Yellow Player Wins: 1358 | Round Count: 1588
Red Player wins: 230 | Yellow Player Wins: 1359 | Round Count: 1589
Red Player wins: 230 | Yellow Player Wins: 1360 | Round Count: 1590
Red Player wins: 230 | Yellow Player Wins: 1361 | Round Count: 1591
Red Player wins: 230 | Yellow Player Wins: 1362 | Round Count: 1592
Red Player wins: 231 | Yellow Player Wins: 1362 | Round Count: 1593
Red Player wins: 231 | Yellow Player Wins: 1363 | Round Count: 1594
Red Player wins: 231 | Yellow Player Wins: 1364 | Round Count: 1595
Red Player wins: 231 | Yellow Player Wins: 1365 | Round Count: 1596
Red Player wins: 231 | Yellow Player Wins: 1366 | Round Count: 1597
Red Player wins: 232 | Yellow Player Wins: 1366 | Round Count: 1598
Red Player wins: 233 | Yellow Player Wins: 1366 | Round Count: 1599
Red Player wins: 233 | Yellow Player Wins: 1367 | Round Count: 1600
Red Player wins: 233 | Yellow Player Wins: 1368 | Round Count: 1601
Red Player wins: 233 | Yellow Player Wins: 1369 | Round Count: 1602
Red Player wins: 233 | Yellow Player Wins: 1370 | Round Count: 1603
Red Player wins: 233 | Yellow Player Wins: 1371 | Round Count: 1604
Red Player wins: 233 | Yellow Player Wins: 1372 | Round Count: 1605
Red Player wins: 234 | Yellow Player Wins: 1372 | Round Count: 1606
Red Player wins: 234 | Yellow Player Wins: 1373 | Round Count: 1607
Red Player wins: 234 | Yellow Player Wins: 1374 | Round Count: 1608
Red Player wins: 234 | Yellow Player Wins: 1375 | Round Count: 1609
Red Player wins: 234 | Yellow Player Wins: 1376 | Round Count: 1610
Red Player wins: 234 | Yellow Player Wins: 1377 | Round Count: 1611
Red Player wins: 234 | Yellow Player Wins: 1378 | Round Count: 1612
Red Player wins: 234 | Yellow Player Wins: 1379 | Round Count: 1613
Red Player wins: 235 | Yellow Player Wins: 1379 | Round Count: 1614
Red Player wins: 235 | Yellow Player Wins: 1380 | Round Count: 1615
Red Player wins: 235 | Yellow Player Wins: 1381 | Round Count: 1616
Red Player wins: 235 | Yellow Player Wins: 1382 | Round Count: 1617
Red Player wins: 236 | Yellow Player Wins: 1382 | Round Count: 1618
Red Player wins: 236 | Yellow Player Wins: 1383 | Round Count: 1619
Red Player wins: 236 | Yellow Player Wins: 1384 | Round Count: 1620
Red Player wins: 236 | Yellow Player Wins: 1385 | Round Count: 1621
Red Player wins: 236 | Yellow Player Wins: 1386 | Round Count: 1622
Red Player wins: 236 | Yellow Player Wins: 1387 | Round Count: 1623
Red Player wins: 236 | Yellow Player Wins: 1388 | Round Count: 1624
Red Player wins: 236 | Yellow Player Wins: 1389 | Round Count: 1625
Red Player wins: 236 | Yellow Player Wins: 1390 | Round Count: 1626
Red Player wins: 236 | Yellow Player Wins: 1391 | Round Count: 1627
Red Player wins: 236 | Yellow Player Wins: 1392 | Round Count: 1628
Red Player wins: 236 | Yellow Player Wins: 1393 | Round Count: 1629
Red Player wins: 236 | Yellow Player Wins: 1394 | Round Count: 1630
Red Player wins: 236 | Yellow Player Wins: 1395 | Round Count: 1631
Red Player wins: 236 | Yellow Player Wins: 1396 | Round Count: 1632
Red Player wins: 236 | Yellow Player Wins: 1397 | Round Count: 1633
Red Player wins: 236 | Yellow Player Wins: 1398 | Round Count: 1634
Red Player wins: 236 | Yellow Player Wins: 1399 | Round Count: 1635
Red Player wins: 236 | Yellow Player Wins: 1400 | Round Count: 1636
Red Player wins: 236 | Yellow Player Wins: 1401 | Round Count: 1637
Red Player wins: 236 | Yellow Player Wins: 1402 | Round Count: 1638
Red Player wins: 236 | Yellow Player Wins: 1403 | Round Count: 1639
Red Player wins: 236 | Yellow Player Wins: 1404 | Round Count: 1640
Red Player wins: 236 | Yellow Player Wins: 1405 | Round Count: 1641
Red Player wins: 236 | Yellow Player Wins: 1406 | Round Count: 1642
Red Player wins: 237 | Yellow Player Wins: 1406 | Round Count: 1643
Red Player wins: 237 | Yellow Player Wins: 1407 | Round Count: 1644
Red Player wins: 237 | Yellow Player Wins: 1408 | Round Count: 1645
Red Player wins: 237 | Yellow Player Wins: 1409 | Round Count: 1646
Red Player wins: 238 | Yellow Player Wins: 1409 | Round Count: 1647
Red Player wins: 238 | Yellow Player Wins: 1410 | Round Count: 1648
Red Player wins: 238 | Yellow Player Wins: 1411 | Round Count: 1649
Red Player wins: 238 | Yellow Player Wins: 1412 | Round Count: 1650
Red Player wins: 238 | Yellow Player Wins: 1413 | Round Count: 1651
Red Player wins: 239 | Yellow Player Wins: 1413 | Round Count: 1652
Red Player wins: 239 | Yellow Player Wins: 1414 | Round Count: 1653
Red Player wins: 240 | Yellow Player Wins: 1414 | Round Count: 1654
Red Player wins: 240 | Yellow Player Wins: 1415 | Round Count: 1655
Red Player wins: 240 | Yellow Player Wins: 1416 | Round Count: 1656
Red Player wins: 240 | Yellow Player Wins: 1417 | Round Count: 1657
Red Player wins: 241 | Yellow Player Wins: 1417 | Round Count: 1658
Red Player wins: 241 | Yellow Player Wins: 1418 | Round Count: 1659
Red Player wins: 241 | Yellow Player Wins: 1419 | Round Count: 1660
Red Player wins: 242 | Yellow Player Wins: 1419 | Round Count: 1661
Red Player wins: 242 | Yellow Player Wins: 1420 | Round Count: 1662
Red Player wins: 242 | Yellow Player Wins: 1421 | Round Count: 1663
Red Player wins: 242 | Yellow Player Wins: 1422 | Round Count: 1664
Red Player wins: 242 | Yellow Player Wins: 1423 | Round Count: 1665
Red Player wins: 242 | Yellow Player Wins: 1424 | Round Count: 1666
Red Player wins: 242 | Yellow Player Wins: 1425 | Round Count: 1667
Red Player wins: 242 | Yellow Player Wins: 1426 | Round Count: 1668
Red Player wins: 242 | Yellow Player Wins: 1427 | Round Count: 1669
Red Player wins: 243 | Yellow Player Wins: 1427 | Round Count: 1670
Red Player wins: 244 | Yellow Player Wins: 1427 | Round Count: 1671
Red Player wins: 244 | Yellow Player Wins: 1428 | Round Count: 1672
Red Player wins: 244 | Yellow Player Wins: 1429 | Round Count: 1673
Red Player wins: 244 | Yellow Player Wins: 1430 | Round Count: 1674
Red Player wins: 244 | Yellow Player Wins: 1431 | Round Count: 1675
Red Player wins: 244 | Yellow Player Wins: 1432 | Round Count: 1676
Red Player wins: 244 | Yellow Player Wins: 1433 | Round Count: 1677
Red Player wins: 244 | Yellow Player Wins: 1434 | Round Count: 1678
Red Player wins: 244 | Yellow Player Wins: 1435 | Round Count: 1679
Red Player wins: 244 | Yellow Player Wins: 1436 | Round Count: 1680
Red Player wins: 244 | Yellow Player Wins: 1437 | Round Count: 1681
Red Player wins: 244 | Yellow Player Wins: 1438 | Round Count: 1682
Red Player wins: 244 | Yellow Player Wins: 1439 | Round Count: 1683
Red Player wins: 244 | Yellow Player Wins: 1440 | Round Count: 1684
Red Player wins: 244 | Yellow Player Wins: 1441 | Round Count: 1685
Red Player wins: 244 | Yellow Player Wins: 1442 | Round Count: 1686
Red Player wins: 244 | Yellow Player Wins: 1443 | Round Count: 1687
Red Player wins: 244 | Yellow Player Wins: 1444 | Round Count: 1688
Red Player wins: 244 | Yellow Player Wins: 1445 | Round Count: 1689
Red Player wins: 244 | Yellow Player Wins: 1446 | Round Count: 1690
Red Player wins: 244 | Yellow Player Wins: 1447 | Round Count: 1691
Red Player wins: 244 | Yellow Player Wins: 1448 | Round Count: 1692
Red Player wins: 245 | Yellow Player Wins: 1448 | Round Count: 1693
Red Player wins: 246 | Yellow Player Wins: 1448 | Round Count: 1694
Red Player wins: 246 | Yellow Player Wins: 1449 | Round Count: 1695
Red Player wins: 246 | Yellow Player Wins: 1450 | Round Count: 1696
Red Player wins: 247 | Yellow Player Wins: 1450 | Round Count: 1697
Red Player wins: 247 | Yellow Player Wins: 1451 | Round Count: 1698
Red Player wins: 247 | Yellow Player Wins: 1452 | Round Count: 1699
Red Player wins: 247 | Yellow Player Wins: 1453 | Round Count: 1700
Red Player wins: 247 | Yellow Player Wins: 1454 | Round Count: 1701
Red Player wins: 247 | Yellow Player Wins: 1455 | Round Count: 1702
Red Player wins: 247 | Yellow Player Wins: 1456 | Round Count: 1703
Red Player wins: 247 | Yellow Player Wins: 1457 | Round Count: 1704
Red Player wins: 247 | Yellow Player Wins: 1458 | Round Count: 1705
Red Player wins: 247 | Yellow Player Wins: 1459 | Round Count: 1706
Red Player wins: 247 | Yellow Player Wins: 1460 | Round Count: 1707
Red Player wins: 247 | Yellow Player Wins: 1461 | Round Count: 1708
Red Player wins: 248 | Yellow Player Wins: 1461 | Round Count: 1709
Red Player wins: 248 | Yellow Player Wins: 1462 | Round Count: 1710
Red Player wins: 249 | Yellow Player Wins: 1462 | Round Count: 1711
Red Player wins: 249 | Yellow Player Wins: 1463 | Round Count: 1712
Red Player wins: 249 | Yellow Player Wins: 1464 | Round Count: 1713
Red Player wins: 249 | Yellow Player Wins: 1465 | Round Count: 1714
Red Player wins: 249 | Yellow Player Wins: 1466 | Round Count: 1715
Red Player wins: 249 | Yellow Player Wins: 1467 | Round Count: 1716
Red Player wins: 250 | Yellow Player Wins: 1467 | Round Count: 1717
Red Player wins: 250 | Yellow Player Wins: 1468 | Round Count: 1718
Red Player wins: 250 | Yellow Player Wins: 1469 | Round Count: 1719
Red Player wins: 250 | Yellow Player Wins: 1470 | Round Count: 1720
Red Player wins: 250 | Yellow Player Wins: 1471 | Round Count: 1721
Red Player wins: 250 | Yellow Player Wins: 1472 | Round Count: 1722
Red Player wins: 250 | Yellow Player Wins: 1473 | Round Count: 1723
Red Player wins: 250 | Yellow Player Wins: 1474 | Round Count: 1724
Red Player wins: 250 | Yellow Player Wins: 1475 | Round Count: 1725
Red Player wins: 250 | Yellow Player Wins: 1476 | Round Count: 1726
Red Player wins: 250 | Yellow Player Wins: 1477 | Round Count: 1727
Red Player wins: 250 | Yellow Player Wins: 1478 | Round Count: 1728
Red Player wins: 250 | Yellow Player Wins: 1479 | Round Count: 1729
Red Player wins: 250 | Yellow Player Wins: 1480 | Round Count: 1730
Red Player wins: 250 | Yellow Player Wins: 1481 | Round Count: 1731
Red Player wins: 250 | Yellow Player Wins: 1482 | Round Count: 1732
Red Player wins: 250 | Yellow Player Wins: 1483 | Round Count: 1733
Red Player wins: 250 | Yellow Player Wins: 1484 | Round Count: 1734
Red Player wins: 250 | Yellow Player Wins: 1485 | Round Count: 1735
Red Player wins: 250 | Yellow Player Wins: 1486 | Round Count: 1736
Red Player wins: 250 | Yellow Player Wins: 1487 | Round Count: 1737
Red Player wins: 250 | Yellow Player Wins: 1488 | Round Count: 1738
Red Player wins: 250 | Yellow Player Wins: 1489 | Round Count: 1739
Red Player wins: 250 | Yellow Player Wins: 1490 | Round Count: 1740
Red Player wins: 250 | Yellow Player Wins: 1491 | Round Count: 1741
Red Player wins: 250 | Yellow Player Wins: 1492 | Round Count: 1742
Red Player wins: 250 | Yellow Player Wins: 1493 | Round Count: 1743
Red Player wins: 250 | Yellow Player Wins: 1494 | Round Count: 1744
